epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1610.91,1.10311,0.59298,0.93457,0.64846,0.57706,0.61201,0.38893,1.22542,0.6972,0.95486,0.000540037,0.000540037,0.000540037
43,1648.82,1.10221,0.59298,0.93372,0.65796,0.59477,0.61115,0.38701,1.19126,0.67595,0.95271,0.000531038,0.000531038,0.000531038
44,1686.78,1.0743,0.58171,0.9276,0.65448,0.57075,0.60781,0.39576,1.15313,0.68854,0.94358,0.000522039,0.000522039,0.000522039
45,1725.2,1.06769,0.57515,0.92591,0.65017,0.59966,0.62339,0.39725,1.17225,0.6762,0.9504,0.00051304,0.00051304,0.00051304
46,1763.39,1.06948,0.57884,0.92399,0.66371,0.56636,0.60125,0.38161,1.15468,0.67205,0.94523,0.00050404,0.00050404,0.00050404
47,1801.76,1.06791,0.57424,0.92459,0.66426,0.57553,0.59371,0.36985,1.22538,0.6967,0.9597,0.000495041,0.000495041,0.000495041
48,1839.52,1.07391,0.57613,0.92579,0.68059,0.63528,0.63505,0.40015,1.16057,0.65804,0.94465,0.000486042,0.000486042,0.000486042
49,1877.92,1.06224,0.57156,0.92422,0.67534,0.63283,0.63172,0.39532,1.17222,0.66324,0.949,0.000477043,0.000477043,0.000477043
50,1915.58,1.05183,0.56249,0.91826,0.67757,0.61706,0.62596,0.40087,1.17923,0.66753,0.94731,0.000468044,0.000468044,0.000468044
51,1953.77,1.05588,0.56824,0.91493,0.71582,0.59844,0.64403,0.40291,1.16196,0.6545,0.94709,0.000459045,0.000459045,0.000459045
52,1991.78,1.04628,0.56351,0.91733,0.58318,0.60837,0.61071,0.38754,1.19323,0.66829,0.95118,0.000450046,0.000450046,0.000450046
53,2029.73,1.05116,0.56496,0.91806,0.73851,0.60782,0.64773,0.41645,1.13594,0.65183,0.9454,0.000441047,0.000441047,0.000441047
54,2067.43,1.02811,0.55006,0.91747,0.67668,0.61271,0.62487,0.3993,1.16378,0.66339,0.94824,0.000432048,0.000432048,0.000432048
55,2105.38,1.03492,0.55174,0.91599,0.66777,0.59506,0.62082,0.39895,1.16463,0.65542,0.94848,0.000423049,0.000423049,0.000423049
56,2143.53,1.02863,0.55067,0.91079,0.67546,0.60253,0.63409,0.41255,1.1792,0.65995,0.95068,0.000414049,0.000414049,0.000414049
57,2181.25,1.03045,0.55244,0.91064,0.60147,0.613,0.62094,0.38997,1.18174,0.68151,0.95485,0.00040505,0.00040505,0.00040505
58,2219.1,1.04232,0.55547,0.91728,0.61465,0.61605,0.62363,0.39556,1.17816,0.66433,0.95046,0.000396051,0.000396051,0.000396051
59,2257.15,1.01605,0.54416,0.90909,0.65717,0.61891,0.63098,0.40951,1.16101,0.65733,0.94765,0.000387052,0.000387052,0.000387052
60,2295.48,1.01519,0.54311,0.91022,0.69658,0.61537,0.64456,0.40736,1.15854,0.65387,0.94712,0.000378053,0.000378053,0.000378053
61,2334.24,1.02144,0.54837,0.90886,0.64237,0.6288,0.63037,0.40263,1.15258,0.65026,0.94469,0.000369054,0.000369054,0.000369054
62,2373.92,0.99818,0.53656,0.90662,0.67925,0.60424,0.62751,0.39807,1.18108,0.65385,0.95119,0.000360055,0.000360055,0.000360055
63,2413.74,0.99415,0.53321,0.90471,0.70922,0.60748,0.64014,0.40976,1.16335,0.64395,0.95204,0.000351056,0.000351056,0.000351056
64,2451.07,1.01141,0.53797,0.90522,0.66859,0.58249,0.62161,0.39664,1.19725,0.65254,0.95284,0.000342057,0.000342057,0.000342057
65,2488.54,0.99446,0.53289,0.90337,0.71828,0.57377,0.62467,0.39735,1.19516,0.67064,0.95529,0.000333058,0.000333058,0.000333058
66,2525.89,0.97397,0.52425,0.89951,0.65999,0.61742,0.63404,0.40708,1.16627,0.6538,0.95088,0.000324058,0.000324058,0.000324058
67,2563.44,0.97651,0.52392,0.90017,0.67325,0.60948,0.62788,0.39189,1.17496,0.65572,0.95616,0.000315059,0.000315059,0.000315059
68,2600.72,0.98623,0.5281,0.90439,0.72163,0.60425,0.64031,0.40333,1.17669,0.65342,0.9541,0.00030606,0.00030606,0.00030606
69,2638.33,0.97712,0.52349,0.89998,0.65969,0.6087,0.63329,0.4049,1.17308,0.6515,0.95256,0.000297061,0.000297061,0.000297061
70,2675.92,0.9812,0.52445,0.89845,0.71757,0.60412,0.6324,0.40951,1.16548,0.64816,0.94995,0.000288062,0.000288062,0.000288062
71,2713.47,0.96639,0.52016,0.89757,0.68118,0.60975,0.63216,0.40764,1.18181,0.65851,0.95518,0.000279063,0.000279063,0.000279063
72,2750.79,0.9591,0.51179,0.89868,0.66219,0.62576,0.63873,0.41469,1.17815,0.66097,0.95404,0.000270064,0.000270064,0.000270064
73,2788.2,0.9573,0.5109,0.8962,0.71109,0.62664,0.6494,0.41658,1.16684,0.64687,0.94977,0.000261065,0.000261065,0.000261065
74,2825.8,0.95703,0.51317,0.89342,0.67426,0.62674,0.64097,0.41172,1.1804,0.64681,0.95287,0.000252066,0.000252066,0.000252066
75,2863.1,0.9497,0.50947,0.89288,0.63481,0.6263,0.63484,0.40697,1.20678,0.65786,0.96094,0.000243067,0.000243067,0.000243067
76,2900.76,0.94906,0.50967,0.8929,0.6732,0.62425,0.64304,0.41765,1.14983,0.64258,0.94584,0.000234068,0.000234068,0.000234068
77,2939.1,0.95623,0.50995,0.89323,0.64664,0.63568,0.64397,0.40575,1.17717,0.65055,0.95454,0.000225068,0.000225068,0.000225068
78,2977.06,0.94083,0.50325,0.89326,0.67595,0.60634,0.62999,0.40066,1.19258,0.65332,0.95467,0.000216069,0.000216069,0.000216069
79,3014.98,0.9415,0.50042,0.89064,0.68058,0.61143,0.63585,0.40276,1.17768,0.64578,0.9539,0.00020707,0.00020707,0.00020707
80,3052.53,0.94608,0.50303,0.89136,0.73603,0.59621,0.63843,0.40419,1.15441,0.63882,0.94891,0.000198071,0.000198071,0.000198071
81,3090.96,0.92762,0.49514,0.88734,0.65791,0.60708,0.6295,0.39583,1.17596,0.64698,0.95343,0.000189072,0.000189072,0.000189072
82,3128.41,0.92073,0.48978,0.88212,0.68934,0.60538,0.63505,0.39891,1.18286,0.64469,0.95589,0.000180073,0.000180073,0.000180073
83,3166.42,0.91315,0.48666,0.88481,0.69542,0.59057,0.61978,0.39767,1.15982,0.65133,0.94994,0.000171074,0.000171074,0.000171074
84,3204.18,0.92774,0.49322,0.88956,0.64422,0.61893,0.63171,0.40311,1.16129,0.6472,0.95233,0.000162075,0.000162075,0.000162075
85,3242.26,0.91908,0.4913,0.88363,0.63079,0.65108,0.63835,0.41023,1.17146,0.64611,0.95428,0.000153076,0.000153076,0.000153076
86,3279.65,0.9198,0.48995,0.88615,0.66454,0.60866,0.64077,0.40936,1.1586,0.63563,0.95142,0.000144077,0.000144077,0.000144077
87,3317.25,0.91255,0.48519,0.88627,0.68931,0.59972,0.63834,0.4048,1.16467,0.63821,0.95259,0.000135077,0.000135077,0.000135077
88,3354.87,0.90589,0.48344,0.88358,0.67062,0.62791,0.64037,0.41417,1.15198,0.63978,0.94901,0.000126078,0.000126078,0.000126078
89,3392.23,0.90782,0.48388,0.88199,0.65021,0.62317,0.63132,0.40022,1.17743,0.64627,0.95477,0.000117079,0.000117079,0.000117079
90,3429.89,0.90618,0.48416,0.87989,0.70663,0.59622,0.63475,0.40503,1.17937,0.64598,0.95716,0.00010808,0.00010808,0.00010808
91,3501.84,0.92324,0.47066,0.89091,0.68229,0.59604,0.61885,0.38866,1.18871,0.65976,0.962,9.9081e-05,9.9081e-05,9.9081e-05
92,3538.37,0.89106,0.45386,0.88043,0.67763,0.58671,0.6229,0.38848,1.18728,0.65405,0.96268,9.00819e-05,9.00819e-05,9.00819e-05
93,3574.91,0.88032,0.45212,0.88105,0.7081,0.58164,0.6252,0.39739,1.17601,0.64663,0.95874,8.10828e-05,8.10828e-05,8.10828e-05
94,3611.61,0.87371,0.44707,0.87691,0.69713,0.5943,0.6266,0.39529,1.16575,0.64681,0.956,7.20837e-05,7.20837e-05,7.20837e-05
95,3648.08,0.87243,0.44773,0.87636,0.6585,0.61567,0.63136,0.40194,1.17081,0.6476,0.95579,6.30846e-05,6.30846e-05,6.30846e-05
96,3684.7,0.86787,0.44725,0.87652,0.66444,0.60941,0.63021,0.4007,1.17502,0.65139,0.95847,5.40855e-05,5.40855e-05,5.40855e-05
97,3721.17,0.86204,0.4416,0.8748,0.6984,0.5978,0.62565,0.40046,1.16529,0.65068,0.957,4.50864e-05,4.50864e-05,4.50864e-05
98,3758.1,0.85248,0.43891,0.87353,0.71526,0.58933,0.62979,0.40332,1.16572,0.64845,0.95603,3.60873e-05,3.60873e-05,3.60873e-05
99,3794.49,0.84696,0.43743,0.8704,0.71913,0.58653,0.62868,0.40086,1.17105,0.64949,0.95715,2.70882e-05,2.70882e-05,2.70882e-05
100,3830.83,0.85606,0.43927,0.87168,0.69691,0.58975,0.62943,0.40353,1.17064,0.64828,0.9568,1.80891e-05,1.80891e-05,1.80891e-05
