epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9364,1.66462,2.29281,1.11327,0.43489,0.21925,0.24209,0.14025,1.44874,1.53343,1.03232,0.00030082,0.00030082,0.00030082
2,79.6911,1.53699,1.27199,1.06666,0.30098,0.32437,0.30201,0.17028,1.40991,1.20197,1.01469,0.000591865,0.000591865,0.000591865
3,118.538,1.47598,1.12618,1.05419,0.3621,0.36219,0.29129,0.16292,1.47296,1.27829,1.0366,0.00087091,0.00087091,0.00087091
4,156.316,1.46128,1.04389,1.04883,0.58145,0.41614,0.45224,0.27091,1.29997,1.04477,0.98558,0.000855005,0.000855005,0.000855005
5,193.611,1.41638,0.96003,1.03144,0.61649,0.40547,0.44919,0.2625,1.36709,0.98468,1.00625,0.000837007,0.000837007,0.000837007
6,231.267,1.38435,0.90931,1.02633,0.47504,0.46982,0.44031,0.26809,1.33222,0.94947,0.98488,0.000819009,0.000819009,0.000819009
7,268.838,1.40146,0.88224,1.02548,0.5764,0.47327,0.49045,0.30631,1.25411,0.86328,0.97278,0.000801011,0.000801011,0.000801011
8,305.988,1.3601,0.84194,1.01319,0.6008,0.47096,0.51052,0.31433,1.2725,0.84934,0.97651,0.000783013,0.000783013,0.000783013
9,343.321,1.33993,0.82051,1.00868,0.57434,0.50261,0.505,0.29625,1.30398,0.81689,0.97248,0.000765014,0.000765014,0.000765014
10,380.789,1.31697,0.7895,0.99716,0.54174,0.51125,0.52719,0.32749,1.21302,0.79498,0.96261,0.000747016,0.000747016,0.000747016
11,418.874,1.30544,0.7741,0.99524,0.54142,0.47295,0.49921,0.29971,1.2896,0.82414,0.97842,0.000729018,0.000729018,0.000729018
12,456.166,1.29594,0.76642,0.99602,0.63889,0.54825,0.57003,0.35288,1.20044,0.78972,0.95955,0.00071102,0.00071102,0.00071102
13,494.565,1.26649,0.73301,0.98375,0.58457,0.55074,0.54075,0.33331,1.20247,0.79731,0.95658,0.000693022,0.000693022,0.000693022
14,533.836,1.26867,0.74316,0.9858,0.57845,0.50048,0.5034,0.28789,1.33313,0.82304,0.98491,0.000675023,0.000675023,0.000675023
15,573.49,1.25697,0.72336,0.98,0.59583,0.47728,0.50186,0.29452,1.29356,0.82762,0.97994,0.000657025,0.000657025,0.000657025
16,612.338,1.23909,0.7014,0.97709,0.47126,0.54271,0.49981,0.3162,1.24235,0.78775,0.96297,0.000639027,0.000639027,0.000639027
17,651.364,1.24446,0.70966,0.97556,0.53316,0.5269,0.49974,0.30479,1.25827,0.79385,0.96697,0.000621029,0.000621029,0.000621029
18,690.528,1.2275,0.69601,0.96834,0.56892,0.57444,0.54836,0.33094,1.25881,0.75659,0.97016,0.000603031,0.000603031,0.000603031
19,728.377,1.20616,0.6786,0.96269,0.62512,0.51912,0.56117,0.35293,1.18601,0.74933,0.95132,0.000585032,0.000585032,0.000585032
20,765.866,1.20211,0.67863,0.96405,0.60849,0.50868,0.53189,0.33332,1.22413,0.75404,0.9582,0.000567034,0.000567034,0.000567034
21,803.522,1.20891,0.67805,0.967,0.64762,0.56957,0.59731,0.36976,1.16507,0.71627,0.94647,0.000549036,0.000549036,0.000549036
22,840.88,1.18517,0.65977,0.95704,0.58407,0.55901,0.57978,0.36289,1.22618,0.72594,0.96264,0.000531038,0.000531038,0.000531038
23,878.505,1.17055,0.65312,0.95282,0.66352,0.56084,0.58701,0.36986,1.18478,0.7238,0.94788,0.00051304,0.00051304,0.00051304
24,916.021,1.16541,0.64145,0.9492,0.65063,0.57206,0.59358,0.38386,1.17227,0.7168,0.94688,0.000495041,0.000495041,0.000495041
25,953.395,1.1704,0.64455,0.95317,0.62963,0.59735,0.5989,0.37456,1.21641,0.72791,0.95388,0.000477043,0.000477043,0.000477043
26,991.161,1.14552,0.63079,0.94635,0.65791,0.57988,0.59787,0.37699,1.16942,0.71314,0.94236,0.000459045,0.000459045,0.000459045
27,1028.71,1.13176,0.62313,0.9449,0.63917,0.56317,0.58754,0.35728,1.21792,0.73408,0.95523,0.000441047,0.000441047,0.000441047
28,1066.33,1.15291,0.62672,0.9469,0.67307,0.55735,0.60076,0.38688,1.15861,0.69594,0.94184,0.000423049,0.000423049,0.000423049
29,1103.8,1.13154,0.61616,0.94366,0.69032,0.57827,0.61664,0.39105,1.14282,0.69034,0.94316,0.00040505,0.00040505,0.00040505
30,1141.46,1.1154,0.60823,0.93824,0.66324,0.57561,0.5997,0.3795,1.15787,0.69754,0.9456,0.000387052,0.000387052,0.000387052
31,1178.66,1.12668,0.61394,0.93938,0.64476,0.57985,0.591,0.37025,1.16539,0.70349,0.94009,0.000369054,0.000369054,0.000369054
32,1216.21,1.10924,0.60492,0.93625,0.64535,0.60962,0.61462,0.38389,1.15042,0.69692,0.94178,0.000351056,0.000351056,0.000351056
33,1253.36,1.10099,0.59734,0.9352,0.62264,0.60586,0.61064,0.37188,1.2109,0.68719,0.95588,0.000333058,0.000333058,0.000333058
34,1290.74,1.10158,0.595,0.93288,0.60354,0.60547,0.60187,0.36469,1.24035,0.70883,0.96124,0.000315059,0.000315059,0.000315059
35,1328.12,1.08298,0.58584,0.92769,0.6179,0.60152,0.60653,0.38136,1.18048,0.69549,0.94947,0.000297061,0.000297061,0.000297061
36,1365.92,1.07765,0.58384,0.92776,0.65667,0.59672,0.61616,0.39337,1.16119,0.67375,0.94363,0.000279063,0.000279063,0.000279063
37,1403.64,1.06779,0.57723,0.92414,0.60789,0.60928,0.61661,0.38307,1.16535,0.68174,0.94575,0.000261065,0.000261065,0.000261065
38,1441.89,1.06785,0.57401,0.92454,0.67855,0.58292,0.61184,0.39114,1.1564,0.69164,0.94545,0.000243067,0.000243067,0.000243067
39,1479.81,1.0731,0.5783,0.92482,0.6391,0.60232,0.61691,0.39756,1.1399,0.69462,0.94311,0.000225068,0.000225068,0.000225068
40,1517.51,1.03507,0.55931,0.91717,0.68681,0.62529,0.6402,0.40811,1.14398,0.65895,0.94243,0.00020707,0.00020707,0.00020707
41,1588.11,1.05315,0.54966,0.92515,0.58003,0.59218,0.57586,0.34834,1.2746,0.71794,0.97407,0.000189072,0.000189072,0.000189072
42,1624.42,1.02768,0.5314,0.92125,0.61226,0.6026,0.60776,0.38339,1.17748,0.6911,0.95027,0.000171074,0.000171074,0.000171074
43,1661.55,1.02298,0.52922,0.91542,0.65167,0.604,0.60883,0.39053,1.16296,0.68682,0.94951,0.000153076,0.000153076,0.000153076
44,1698,1.00244,0.51882,0.91325,0.67829,0.61688,0.63394,0.40474,1.15157,0.66317,0.94523,0.000135077,0.000135077,0.000135077
45,1734.35,0.99343,0.51774,0.90988,0.68109,0.58985,0.60869,0.38888,1.19893,0.69002,0.95459,0.000117079,0.000117079,0.000117079
46,1770.63,0.97586,0.51079,0.90373,0.66459,0.61532,0.62087,0.38996,1.16111,0.68649,0.94944,9.9081e-05,9.9081e-05,9.9081e-05
47,1807.26,0.9712,0.50473,0.90239,0.70173,0.6057,0.63667,0.39627,1.15093,0.66867,0.94435,8.10828e-05,8.10828e-05,8.10828e-05
48,1843.4,0.96584,0.50137,0.90223,0.66489,0.62039,0.63612,0.39903,1.16658,0.67078,0.9493,6.30846e-05,6.30846e-05,6.30846e-05
49,1879.73,0.95895,0.50012,0.90191,0.68519,0.59527,0.62403,0.38513,1.17894,0.67508,0.95233,4.50864e-05,4.50864e-05,4.50864e-05
50,1916,0.95031,0.49475,0.89776,0.66749,0.61788,0.63648,0.39008,1.18517,0.67172,0.95298,2.70882e-05,2.70882e-05,2.70882e-05
